photo_url,alderman,ward,gen_att,cc_att,comm_att,attendance_arrays
,Willie Cochran,20,70.90%,93.10%,65.10%,[1; 1; 0.952380952; 0.64; 0.722222222; 0.807692308; 0.555555556; 0.416666667; 0.705882353; 0.538461538; 0.785714286; 0.576923077; 0.666666667; 0.705882353; 0.636363636; 0.611111111; 0.583333333; 0.823529412; 1; 0.8; 0.842105263; 0.736842105; 0.666666667; 0.826086957]
,Howard Brookins Jr.,21,50.60%,92.00%,40.00%,[1; 1; 1; 0.535714286; 0.45; 0.517241379; 0.388888889; 0.423076923; 0.5; 0.36; 0.6; 0.238095238; 0.294117647; 0.538461538; 0.363636364; 0.45; 0.333333333; 0.619047619; 0.2; 0.55; 0.526315789; 0.529411765; 0.4375; 0.454545455]
,Ricardo Munoz,22,57.70%,100.00%,40.90%,[1; 1; 0.923076923; 0.4; 0.277777778; 0.428571429; 0.307692308; 0.4; 0.5; 0.75; 0.666666667; 0.588235294; 0.6; 0.363636364; 0.285714286; 0.5; 0.5; 0.571428571; 0.5; 0.769230769; 0.692307692; 0.5; 0.666666667; 0.904761905]
,Michael Zalewski,23,59.40%,97.70%,46.20%,[1; 1; 0.888888889; 0.611111111; 0.538461538; 0.571428571; 0.307692308; 0.454545455; 0.727272727; 0.565217391; 0.5; 0.454545455; 0.5; 0.636363636; 0.444444444; 0.6875; 0.444444444; 0.5; 0.333333333; 0.588235294; 0.642857143; 0.666666667; 0.416666667; 0.684210526]
,Michael Scott Jr.,24,93.70%,100.00%,91.80%,[; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0.857142857; 0.5; 0.85; 1; 0.9375; 1; 1]
,Daniel Solis,25,58.20%,94.30%,49.60%,[1; 0.928571429; 0.9; 0.541666667; 0.434782609; 0.517241379; 0.4; 0.464285714; 0.444444444; 0.407407407; 0.5; 0.461538462; 0.476190476; 0.375; 0.4; 0.8; 0.5; 0.55; 0.4; 0.777777778; 0.75; 0.777777778; 0.647058824; 0.807692308]
,Roberto Maldonado,26,52.50%,92.00%,38.10%,[1; 1; 0.8125; 0.647058824; 0.3125; 0.380952381; 0.428571429; 0.473684211; 0.692307692; 0.428571429; 0.5; 0.571428571; 0.545454545; 0.333333333; 0.4; 0.533333333; 0.444444444; 0.285714286; 0.5; 0.4; 0.307692308; 0.666666667; 0.545454545; 0.722222222]
,Walter Burnett Jr. ,27,76.60%,98.90%,70.50%,[1; 1; 0.95; 0.8; 0.666666667; 0.666666667; 0.357142857; 0.619047619; 0.857142857; 0.823529412; 0.818181818; 0.652173913; 0.823529412; 0.823529412; 0.727272727; 0.9; 0.733333333; 0.75; 0.75; 0.666666667; 0.80952381; 0.736842105; 0.833333333; 0.84]
,Jason Ervin,28,86.10%,100.00%,81.80%,[1; 1; 1; 0.9; 0.8125; 0.652173913; 0.733333333; 0.777777778; 0.9; 0.823529412; 0.9; 0.869565217; 0.866666667; 0.764705882; 1; 0.904761905; 0.888888889; 1; 0.666666667; 0.894736842; 0.8125; 0.866666667; 0.875; 0.909090909]
,Chris Taliaferro,29,81.60%,95.50%,75.90%,[; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0.75; 1; 0.75; 0.785714286; 0.846153846; 0.666666667; 0.95]
