committee,date,alderman,status,period,total_absences,,date,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Newsome, Shirley",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"O'Connor, Patrick",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Olivo, Frank",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Pope, John",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Reboyras, Ariel",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Reilly, Brendan",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Rice, John",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Rugai, Virginia",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Schulter, Eugene",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Shiller, Helen",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Smith, Mary Ann",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Solis, Daniel",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Stone, Bernard",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Suarez, Regner Ray",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Thomas, Latasha R.",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Thompson, JoAnn",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Tunney, Thomas",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Waguespack, Scott",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Zalewski, Michael R.",1,1,,,39149,,
Committee on License and Consumer Protection,3/30/11 0:00,"Cardenas, George A.",1,1,0,,39170,,
Committee on License and Consumer Protection,3/30/11 0:00,"Cochran, Willie",1,1,,,39170,,
Committee on License and Consumer Protection,3/30/11 0:00,"Doherty, Brian",1,1,,,39170,,
Committee on License and Consumer Protection,3/30/11 0:00,"Fioretti, Bob",1,1,,,39170,,
Committee on License and Consumer Protection,3/30/11 0:00,"Graham, Deborah L.",1,1,,,39170,,
Committee on License and Consumer Protection,3/30/11 0:00,"Lyle, Freddrenna",1,1,,,39170,,
Committee on License and Consumer Protection,3/30/11 0:00,"Olivo, Frank",1,1,,,39170,,
Committee on License and Consumer Protection,3/30/11 0:00,"Reboyras, Ariel",1,1,,,39170,,
Committee on License and Consumer Protection,3/30/11 0:00,"Rice, John",1,1,,,39170,,
Committee on License and Consumer Protection,3/30/11 0:00,"Schulter, Eugene",1,1,,,39170,,
Committee on License and Consumer Protection,3/30/11 0:00,"Shiller, Helen",1,1,,,39170,,
Committee on License and Consumer Protection,3/30/11 0:00,"Smith, Mary Ann",1,1,,,39170,,
Committee on License and Consumer Protection,3/30/11 0:00,"Tunney, Thomas",1,1,,,39170,,
Committee on Housing and Real Estate,4/6/11 0:00,"Austin, Carrie M.",2,1,0,,39177,,39177
Committee on Housing and Real Estate,4/6/11 0:00,"Balcer, James",2,1,,,39177,,
Committee on Housing and Real Estate,4/6/11 0:00,"Cardenas, George A.",2,1,,,39177,,
Committee on Housing and Real Estate,4/6/11 0:00,"Dixon, Sharon",2,1,,,39177,,
