committee,date,alderman,status,period,total_absences,,date,,
"Committee on Economic, Capital and Technology Development",12/12/11 0:00,"Arena, John",4,2,,,39427,,
"Committee on Economic, Capital and Technology Development",12/12/11 0:00,"Cullerton, Timothy M.",4,2,,,39427,,
"Committee on Economic, Capital and Technology Development",12/12/11 0:00,"Ervin, Jason C.",4,2,,,39427,,
"Committee on Economic, Capital and Technology Development",12/12/11 0:00,"Hairston, Leslie A.",4,2,,,39427,,
"Committee on Economic, Capital and Technology Development",12/12/11 0:00,"Maldonado, Roberto",4,2,,,39427,,
"Committee on Economic, Capital and Technology Development",12/12/11 0:00,"Mitts, Emma",4,2,,,39427,,
"Committee on Economic, Capital and Technology Development",12/12/11 0:00,"Moreno, Proco Joe",4,2,,,39427,,
"Committee on Economic, Capital and Technology Development",12/12/11 0:00,"Smith, Michele",4,2,,,39427,,
"Committee on Economic, Capital and Technology Development",12/12/11 0:00,"Tunney, Thomas",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Thomas, Latasha R.",4,2,11,,39427,,
Committee on Finance,12/12/11 0:00,"Brookins, Jr., Howard",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Cardenas, George A.",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Colon, Rey",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Foulkes, Toni",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Lane, Lona",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Laurino, Margaret",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Moore, Joseph",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Munoz, Ricardo",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"O'Connor, Patrick",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Suarez, Regner Ray",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Austin, Carrie M.",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Balcer, James",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Beale, Anthony",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Burke, Edward M.",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Burnett, Jr., Walter",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Burns, William D.",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Cochran, Willie",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Dowell, Pat",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Ervin, Jason C.",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Graham, Deborah L.",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Hairston, Leslie A.",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Harris, Michelle A.",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Mell, Richard F.",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Mitts, Emma",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Moreno, Proco Joe",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Osterman, Harry",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Pope, John",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Reboyras, Ariel",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Reilly, Brendan",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Solis, Daniel",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Thompson, JoAnn",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Tunney, Thomas",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Waguespack, Scott",4,2,,,39427,,
Committee on Finance,12/12/11 0:00,"Zalewski, Michael R.",4,2,,,39427,,
Committee on Pedestrian and Traffic Safety,12/12/11 0:00,"Munoz, Ricardo",4,2,5,,39427,,
Committee on Pedestrian and Traffic Safety,12/12/11 0:00,"Brookins, Jr., Howard",4,2,,,39427,,
Committee on Pedestrian and Traffic Safety,12/12/11 0:00,"Colon, Rey",4,2,,,39427,,
Committee on Pedestrian and Traffic Safety,12/12/11 0:00,"Mell, Richard F.",4,2,,,39427,,
Committee on Pedestrian and Traffic Safety,12/12/11 0:00,"Mitts, Emma",4,2,,,39427,,
Committee on Pedestrian and Traffic Safety,12/12/11 0:00,"Balcer, James",4,2,,,39427,,
Committee on Pedestrian and Traffic Safety,12/12/11 0:00,"Burns, William D.",4,2,,,39427,,
Committee on Pedestrian and Traffic Safety,12/12/11 0:00,"Cappleman, James",4,2,,,39427,,
Committee on Pedestrian and Traffic Safety,12/12/11 0:00,"Ervin, Jason C.",4,2,,,39427,,
Committee on Pedestrian and Traffic Safety,12/12/11 0:00,"Graham, Deborah L.",4,2,,,39427,,
Committee on Pedestrian and Traffic Safety,12/12/11 0:00,"Laurino, Margaret",4,2,,,39427,,
Committee on Pedestrian and Traffic Safety,12/12/11 0:00,"Quinn, Marty",4,2,,,39427,,
Committee on Pedestrian and Traffic Safety,12/12/11 0:00,"Sawyer, Roderick T.",4,2,,,39427,,
Committee on Pedestrian and Traffic Safety,12/12/11 0:00,"Silverstein, Debra L.",4,2,,,39427,,
Committee on Transportation and Public Way,12/12/11 0:00,"Suarez, Regner Ray",4,2,3,,39427,,
Committee on Transportation and Public Way,12/12/11 0:00,"Fioretti, Bob",4,2,,,39427,,
Committee on Transportation and Public Way,12/12/11 0:00,"Jackson, Sandi",4,2,,,39427,,
Committee on Transportation and Public Way,12/12/11 0:00,"Beale, Anthony",4,2,,,39427,,
Committee on Transportation and Public Way,12/12/11 0:00,"Burns, William D.",4,2,,,39427,,
Committee on Transportation and Public Way,12/12/11 0:00,"Cullerton, Timothy M.",4,2,,,39427,,
Committee on Transportation and Public Way,12/12/11 0:00,"Dowell, Pat",4,2,,,39427,,
Committee on Transportation and Public Way,12/12/11 0:00,"Ervin, Jason C.",4,2,,,39427,,
Committee on Transportation and Public Way,12/12/11 0:00,"Graham, Deborah L.",4,2,,,39427,,
Committee on Transportation and Public Way,12/12/11 0:00,"Maldonado, Roberto",4,2,,,39427,,
Committee on Transportation and Public Way,12/12/11 0:00,"O'Connor, Mary",4,2,,,39427,,
Committee on Transportation and Public Way,12/12/11 0:00,"O'Shea, Matthew J.",4,2,,,39427,,
Committee on Transportation and Public Way,12/12/11 0:00,"Pope, John",4,2,,,39427,,
Committee on Transportation and Public Way,12/12/11 0:00,"Quinn, Marty",4,2,,,39427,,
Committee on Transportation and Public Way,12/12/11 0:00,"Reboyras, Ariel",4,2,,,39427,,
Committee on Transportation and Public Way,12/12/11 0:00,"Reilly, Brendan",4,2,,,39427,,
Committee on Transportation and Public Way,12/12/11 0:00,"Smith, Michele",4,2,,,39427,,
"Committee on Zoning, Landmarks and Building Standards",12/13/11 0:00,"Thomas, Latasha R.",4,2,6,,39428,,
"Committee on Zoning, Landmarks and Building Standards",12/13/11 0:00,"Brookins, Jr., Howard",4,2,,,39428,,
"Committee on Zoning, Landmarks and Building Standards",12/13/11 0:00,"Burke, Edward M.",4,2,,,39428,,
"Committee on Zoning, Landmarks and Building Standards",12/13/11 0:00,"Harris, Michelle A.",4,2,,,39428,,
"Committee on Zoning, Landmarks and Building Standards",12/13/11 0:00,"Mell, Richard F.",4,2,,,39428,,
"Committee on Zoning, Landmarks and Building Standards",12/13/11 0:00,"Pawar, Ameya",4,2,,,39428,,
"Committee on Zoning, Landmarks and Building Standards",12/13/11 0:00,"Austin, Carrie M.",4,2,,,39428,,
"Committee on Zoning, Landmarks and Building Standards",12/13/11 0:00,"Cappleman, James",4,2,,,39428,,
"Committee on Zoning, Landmarks and Building Standards",12/13/11 0:00,"Colon, Rey",4,2,,,39428,,
"Committee on Zoning, Landmarks and Building Standards",12/13/11 0:00,"Cullerton, Timothy M.",4,2,,,39428,,
"Committee on Zoning, Landmarks and Building Standards",12/13/11 0:00,"Fioretti, Bob",4,2,,,39428,,
"Committee on Zoning, Landmarks and Building Standards",12/13/11 0:00,"Foulkes, Toni",4,2,,,39428,,
"Committee on Zoning, Landmarks and Building Standards",12/13/11 0:00,"Graham, Deborah L.",4,2,,,39428,,
"Committee on Zoning, Landmarks and Building Standards",12/13/11 0:00,"Laurino, Margaret",4,2,,,39428,,
"Committee on Zoning, Landmarks and Building Standards",12/13/11 0:00,"Reilly, Brendan",4,2,,,39428,,
"Committee on Zoning, Landmarks and Building Standards",12/13/11 0:00,"Solis, Daniel",4,2,,,39428,,
"Committee on Zoning, Landmarks and Building Standards",12/13/11 0:00,"Suarez, Regner Ray",4,2,,,39428,,
"Committee on Zoning, Landmarks and Building Standards",12/13/11 0:00,"Tunney, Thomas",4,2,,,39428,,
City Council,12/14/11 0:00,"Graham, Deborah L.",4,2,1,,39429,,
City Council,12/14/11 0:00,"Arena, John",4,2,,,39429,,
City Council,12/14/11 0:00,"Austin, Carrie M.",4,2,,,39429,,
City Council,12/14/11 0:00,"Balcer, James",4,2,,,39429,,
City Council,12/14/11 0:00,"Beale, Anthony",4,2,,,39429,,
City Council,12/14/11 0:00,"Brookins, Jr., Howard",4,2,,,39429,,
City Council,12/14/11 0:00,"Burke, Edward M.",4,2,,,39429,,
City Council,12/14/11 0:00,"Burnett, Jr., Walter",4,2,,,39429,,
City Council,12/14/11 0:00,"Burns, William D.",4,2,,,39429,,
City Council,12/14/11 0:00,"Cappleman, James",4,2,,,39429,,
City Council,12/14/11 0:00,"Cardenas, George A.",4,2,,,39429,,
City Council,12/14/11 0:00,"Chandler, Michael D.",4,2,,,39429,,
City Council,12/14/11 0:00,"Cochran, Willie",4,2,,,39429,,
City Council,12/14/11 0:00,"Colon, Rey",4,2,,,39429,,
City Council,12/14/11 0:00,"Cullerton, Timothy M.",4,2,,,39429,,
City Council,12/14/11 0:00,"Dowell, Pat",4,2,,,39429,,
City Council,12/14/11 0:00,"Ervin, Jason C.",4,2,,,39429,,
City Council,12/14/11 0:00,"Fioretti, Bob",4,2,,,39429,,
City Council,12/14/11 0:00,"Foulkes, Toni",4,2,,,39429,,
City Council,12/14/11 0:00,"Hairston, Leslie A.",4,2,,,39429,,
City Council,12/14/11 0:00,"Harris, Michelle A.",4,2,,,39429,,
City Council,12/14/11 0:00,"Jackson, Sandi",4,2,,,39429,,
City Council,12/14/11 0:00,"Lane, Lona",4,2,,,39429,,
City Council,12/14/11 0:00,"Laurino, Margaret",4,2,,,39429,,
City Council,12/14/11 0:00,"Maldonado, Roberto",4,2,,,39429,,
City Council,12/14/11 0:00,"Mell, Richard F.",4,2,,,39429,,
City Council,12/14/11 0:00,"Mitts, Emma",4,2,,,39429,,
City Council,12/14/11 0:00,"Moore, Joseph",4,2,,,39429,,
City Council,12/14/11 0:00,"Moreno, Proco Joe",4,2,,,39429,,
City Council,12/14/11 0:00,"Munoz, Ricardo",4,2,,,39429,,
City Council,12/14/11 0:00,"O'Connor, Mary",4,2,,,39429,,
City Council,12/14/11 0:00,"O'Connor, Patrick",4,2,,,39429,,
City Council,12/14/11 0:00,"O'Shea, Matthew J.",4,2,,,39429,,
City Council,12/14/11 0:00,"Osterman, Harry",4,2,,,39429,,
City Council,12/14/11 0:00,"Pawar, Ameya",4,2,,,39429,,
City Council,12/14/11 0:00,"Pope, John",4,2,,,39429,,
City Council,12/14/11 0:00,"Quinn, Marty",4,2,,,39429,,
City Council,12/14/11 0:00,"Reboyras, Ariel",4,2,,,39429,,
City Council,12/14/11 0:00,"Reilly, Brendan",4,2,,,39429,,
City Council,12/14/11 0:00,"Sawyer, Roderick T.",4,2,,,39429,,
City Council,12/14/11 0:00,"Silverstein, Debra L.",4,2,,,39429,,
City Council,12/14/11 0:00,"Smith, Michele",4,2,,,39429,,
City Council,12/14/11 0:00,"Solis, Daniel",4,2,,,39429,,
City Council,12/14/11 0:00,"Sposato, Nicholas",4,2,,,39429,,
City Council,12/14/11 0:00,"Suarez, Regner Ray",4,2,,,39429,,
City Council,12/14/11 0:00,"Thomas, Latasha R.",4,2,,,39429,,
City Council,12/14/11 0:00,"Thompson, JoAnn",4,2,,,39429,,
City Council,12/14/11 0:00,"Tunney, Thomas",4,2,,,39429,,
City Council,12/14/11 0:00,"Waguespack, Scott",4,2,,,39429,,
City Council,12/14/11 0:00,"Zalewski, Michael R.",4,2,,,39429,,
"Committee on Zoning, Landmarks and Building Standards",12/22/11 0:00,"Thomas, Latasha R.",4,2,6,,39437,,
"Committee on Zoning, Landmarks and Building Standards",12/22/11 0:00,"Fioretti, Bob",4,2,,,39437,,
"Committee on Zoning, Landmarks and Building Standards",12/22/11 0:00,"Foulkes, Toni",4,2,,,39437,,
"Committee on Zoning, Landmarks and Building Standards",12/22/11 0:00,"Mell, Richard F.",4,2,,,39437,,
"Committee on Zoning, Landmarks and Building Standards",12/22/11 0:00,"Pawar, Ameya",4,2,,,39437,,
"Committee on Zoning, Landmarks and Building Standards",12/22/11 0:00,"Suarez, Regner Ray",4,2,,,39437,,
"Committee on Zoning, Landmarks and Building Standards",12/22/11 0:00,"Austin, Carrie M.",4,2,,,39437,,
"Committee on Zoning, Landmarks and Building Standards",12/22/11 0:00,"Brookins, Jr., Howard",4,2,,,39437,,
"Committee on Zoning, Landmarks and Building Standards",12/22/11 0:00,"Burke, Edward M.",4,2,,,39437,,
"Committee on Zoning, Landmarks and Building Standards",12/22/11 0:00,"Cappleman, James",4,2,,,39437,,
"Committee on Zoning, Landmarks and Building Standards",12/22/11 0:00,"Colon, Rey",4,2,,,39437,,
"Committee on Zoning, Landmarks and Building Standards",12/22/11 0:00,"Cullerton, Timothy M.",4,2,,,39437,,
"Committee on Zoning, Landmarks and Building Standards",12/22/11 0:00,"Graham, Deborah L.",4,2,,,39437,,
"Committee on Zoning, Landmarks and Building Standards",12/22/11 0:00,"Harris, Michelle A.",4,2,,,39437,,
"Committee on Zoning, Landmarks and Building Standards",12/22/11 0:00,"Laurino, Margaret",4,2,,,39437,,
"Committee on Zoning, Landmarks and Building Standards",12/22/11 0:00,"Reilly, Brendan",4,2,,,39437,,
"Committee on Zoning, Landmarks and Building Standards",12/22/11 0:00,"Solis, Daniel",4,2,,,39437,,
"Committee on Zoning, Landmarks and Building Standards",12/22/11 0:00,"Tunney, Thomas",4,2,,,39437,,
Committee on Housing and Real Estate,1/10/12 0:00,"Pope, John",5,3,7,,39456,,39456
Committee on Housing and Real Estate,1/10/12 0:00,"Balcer, James",5,3,,,39456,,
Committee on Housing and Real Estate,1/10/12 0:00,"Cardenas, George A.",5,3,,,39456,,
Committee on Housing and Real Estate,1/10/12 0:00,"Chandler, Michael D.",5,3,,,39456,,
Committee on Housing and Real Estate,1/10/12 0:00,"Jackson, Sandi",5,3,,,39456,,
Committee on Housing and Real Estate,1/10/12 0:00,"Mell, Richard F.",5,3,,,39456,,
Committee on Housing and Real Estate,1/10/12 0:00,"O'Connor, Mary",5,3,,,39456,,
Committee on Housing and Real Estate,1/10/12 0:00,"Austin, Carrie M.",5,3,,,39456,,
Committee on Housing and Real Estate,1/10/12 0:00,"Burns, William D.",5,3,,,39456,,
Committee on Housing and Real Estate,1/10/12 0:00,"Cappleman, James",5,3,,,39456,,
Committee on Housing and Real Estate,1/10/12 0:00,"Cullerton, Timothy M.",5,3,,,39456,,
Committee on Housing and Real Estate,1/10/12 0:00,"Dowell, Pat",5,3,,,39456,,
Committee on Housing and Real Estate,1/10/12 0:00,"Lane, Lona",5,3,,,39456,,
Committee on Housing and Real Estate,1/10/12 0:00,"Reboyras, Ariel",5,3,,,39456,,
Committee on Housing and Real Estate,1/10/12 0:00,"Sposato, Nicholas",5,3,,,39456,,
Committee on Housing and Real Estate,1/10/12 0:00,"Suarez, Regner Ray",5,3,,,39456,,
Committee on Housing and Real Estate,1/10/12 0:00,"Thompson, JoAnn",5,3,,,39456,,
Committee on Housing and Real Estate,1/10/12 0:00,"Waguespack, Scott",5,3,,,39456,,
"Committee on Economic, Capital and Technology Development",1/11/12 0:00,"Zalewski, Michael R.",5,3,10,,39457,,
"Committee on Economic, Capital and Technology Development",1/11/12 0:00,"Chandler, Michael D.",5,3,,,39457,,
"Committee on Economic, Capital and Technology Development",1/11/12 0:00,"Cochran, Willie",5,3,,,39457,,
"Committee on Economic, Capital and Technology Development",1/11/12 0:00,"Colon, Rey",5,3,,,39457,,
"Committee on Economic, Capital and Technology Development",1/11/12 0:00,"Foulkes, Toni",5,3,,,39457,,
"Committee on Economic, Capital and Technology Development",1/11/12 0:00,"Jackson, Sandi",5,3,,,39457,,
"Committee on Economic, Capital and Technology Development",1/11/12 0:00,"Maldonado, Roberto",5,3,,,39457,,
"Committee on Economic, Capital and Technology Development",1/11/12 0:00,"Mitts, Emma",5,3,,,39457,,
"Committee on Economic, Capital and Technology Development",1/11/12 0:00,"Moreno, Proco Joe",5,3,,,39457,,
"Committee on Economic, Capital and Technology Development",1/11/12 0:00,"Pawar, Ameya",5,3,,,39457,,
"Committee on Economic, Capital and Technology Development",1/11/12 0:00,"Arena, John",5,3,,,39457,,
"Committee on Economic, Capital and Technology Development",1/11/12 0:00,"Cullerton, Timothy M.",5,3,,,39457,,
"Committee on Economic, Capital and Technology Development",1/11/12 0:00,"Ervin, Jason C.",5,3,,,39457,,
"Committee on Economic, Capital and Technology Development",1/11/12 0:00,"Hairston, Leslie A.",5,3,,,39457,,
"Committee on Economic, Capital and Technology Development",1/11/12 0:00,"Lane, Lona",5,3,,,39457,,
"Committee on Economic, Capital and Technology Development",1/11/12 0:00,"Smith, Michele",5,3,,,39457,,
"Committee on Economic, Capital and Technology Development",1/11/12 0:00,"Tunney, Thomas",5,3,,,39457,,
Committee on Transportation and Public Way,1/11/12 0:00,"Suarez, Regner Ray",5,3,7,,39457,,
Committee on Transportation and Public Way,1/11/12 0:00,"Fioretti, Bob",5,3,,,39457,,
Committee on Transportation and Public Way,1/11/12 0:00,"Graham, Deborah L.",5,3,,,39457,,
Committee on Transportation and Public Way,1/11/12 0:00,"Jackson, Sandi",5,3,,,39457,,
Committee on Transportation and Public Way,1/11/12 0:00,"Maldonado, Roberto",5,3,,,39457,,
Committee on Transportation and Public Way,1/11/12 0:00,"O'Shea, Matthew J.",5,3,,,39457,,
Committee on Transportation and Public Way,1/11/12 0:00,"Reilly, Brendan",5,3,,,39457,,
Committee on Transportation and Public Way,1/11/12 0:00,"Beale, Anthony",5,3,,,39457,,
Committee on Transportation and Public Way,1/11/12 0:00,"Burns, William D.",5,3,,,39457,,
Committee on Transportation and Public Way,1/11/12 0:00,"Cullerton, Timothy M.",5,3,,,39457,,
Committee on Transportation and Public Way,1/11/12 0:00,"Dowell, Pat",5,3,,,39457,,
Committee on Transportation and Public Way,1/11/12 0:00,"Ervin, Jason C.",5,3,,,39457,,
Committee on Transportation and Public Way,1/11/12 0:00,"O'Connor, Mary",5,3,,,39457,,
Committee on Transportation and Public Way,1/11/12 0:00,"Pope, John",5,3,,,39457,,
Committee on Transportation and Public Way,1/11/12 0:00,"Quinn, Marty",5,3,,,39457,,
Committee on Transportation and Public Way,1/11/12 0:00,"Reboyras, Ariel",5,3,,,39457,,
Committee on Transportation and Public Way,1/11/12 0:00,"Smith, Michele",5,3,,,39457,,
Committee on Human Relations,1/12/12 0:00,"Thomas, Latasha R.",5,3,10,,39458,,
Committee on Human Relations,1/12/12 0:00,"Chandler, Michael D.",5,3,,,39458,,
Committee on Human Relations,1/12/12 0:00,"Colon, Rey",5,3,,,39458,,
Committee on Human Relations,1/12/12 0:00,"Foulkes, Toni",5,3,,,39458,,
Committee on Human Relations,1/12/12 0:00,"Jackson, Sandi",5,3,,,39458,,
Committee on Human Relations,1/12/12 0:00,"Mell, Richard F.",5,3,,,39458,,
Committee on Human Relations,1/12/12 0:00,"Munoz, Ricardo",5,3,,,39458,,
Committee on Human Relations,1/12/12 0:00,"Pope, John",5,3,,,39458,,
Committee on Human Relations,1/12/12 0:00,"Sawyer, Roderick T.",5,3,,,39458,,
Committee on Human Relations,1/12/12 0:00,"Solis, Daniel",5,3,,,39458,,
Committee on Human Relations,1/12/12 0:00,"Moore, Joseph",5,3,,,39458,,
Committee on Human Relations,1/12/12 0:00,"Smith, Michele",5,3,,,39458,,
Committee on Human Relations,1/12/12 0:00,"Thompson, JoAnn",5,3,,,39458,,
Committee on Human Relations,1/12/12 0:00,"Waguespack, Scott",5,3,,,39458,,
Committee on Pedestrian and Traffic Safety,1/12/12 0:00,"Silverstein, Debra L.",5,3,11,,39458,,
Committee on Pedestrian and Traffic Safety,1/12/12 0:00,"Balcer, James",5,3,,,39458,,
Committee on Pedestrian and Traffic Safety,1/12/12 0:00,"Brookins, Jr., Howard",5,3,,,39458,,
Committee on Pedestrian and Traffic Safety,1/12/12 0:00,"Burns, William D.",5,3,,,39458,,
Committee on Pedestrian and Traffic Safety,1/12/12 0:00,"Cappleman, James",5,3,,,39458,,
Committee on Pedestrian and Traffic Safety,1/12/12 0:00,"Colon, Rey",5,3,,,39458,,
Committee on Pedestrian and Traffic Safety,1/12/12 0:00,"Ervin, Jason C.",5,3,,,39458,,
Committee on Pedestrian and Traffic Safety,1/12/12 0:00,"Graham, Deborah L.",5,3,,,39458,,
Committee on Pedestrian and Traffic Safety,1/12/12 0:00,"Mell, Richard F.",5,3,,,39458,,
Committee on Pedestrian and Traffic Safety,1/12/12 0:00,"Mitts, Emma",5,3,,,39458,,
Committee on Pedestrian and Traffic Safety,1/12/12 0:00,"Munoz, Ricardo",5,3,,,39458,,
Committee on Pedestrian and Traffic Safety,1/12/12 0:00,"Laurino, Margaret",5,3,,,39458,,
Committee on Pedestrian and Traffic Safety,1/12/12 0:00,"Quinn, Marty",5,3,,,39458,,
Committee on Pedestrian and Traffic Safety,1/12/12 0:00,"Sawyer, Roderick T.",5,3,,,39458,,
Committee on Budget and Government Operations,1/17/12 0:00,"Zalewski, Michael R.",5,3,19,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Beale, Anthony",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Brookins, Jr., Howard",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Cappleman, James",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Cardenas, George A.",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Chandler, Michael D.",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Graham, Deborah L.",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Maldonado, Roberto",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Mell, Richard F.",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Mitts, Emma",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Moore, Joseph",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Munoz, Ricardo",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"O'Connor, Mary",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"O'Connor, Patrick",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"O'Shea, Matthew J.",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Reilly, Brendan",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Solis, Daniel",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Thomas, Latasha R.",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Thompson, JoAnn",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Austin, Carrie M.",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Balcer, James",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Burke, Edward M.",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Burnett, Jr., Walter",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Cochran, Willie",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Cullerton, Timothy M.",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Dowell, Pat",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Hairston, Leslie A.",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Harris, Michelle A.",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Lane, Lona",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Laurino, Margaret",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Pope, John",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Reboyras, Ariel",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Suarez, Regner Ray",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Tunney, Thomas",5,3,,,39463,,
Committee on Budget and Government Operations,1/17/12 0:00,"Waguespack, Scott",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Thompson, JoAnn",5,3,13,,39463,,
Committee on Finance,1/17/12 0:00,"Brookins, Jr., Howard",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Cardenas, George A.",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Ervin, Jason C.",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Foulkes, Toni",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Graham, Deborah L.",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Mell, Richard F.",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Mitts, Emma",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Moreno, Proco Joe",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Munoz, Ricardo",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"O'Connor, Patrick",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Solis, Daniel",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Thomas, Latasha R.",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Austin, Carrie M.",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Balcer, James",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Beale, Anthony",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Burke, Edward M.",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Burnett, Jr., Walter",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Burns, William D.",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Cochran, Willie",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Colon, Rey",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Dowell, Pat",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Hairston, Leslie A.",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Harris, Michelle A.",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Lane, Lona",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Laurino, Margaret",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Moore, Joseph",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Osterman, Harry",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Pope, John",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Reboyras, Ariel",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Reilly, Brendan",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Suarez, Regner Ray",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Tunney, Thomas",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Waguespack, Scott",5,3,,,39463,,
Committee on Finance,1/17/12 0:00,"Zalewski, Michael R.",5,3,,,39463,,
