Committee on Housing and Real Estate,2/3/11 0:00,"Austin, Carrie M.",1,1,0
Committee on Housing and Real Estate,3/2/11 0:00,"Austin, Carrie M.",1,1,0
Committee on Housing and Real Estate,4/6/11 0:00,"Austin, Carrie M.",1,1,0
Committee on Housing and Real Estate,4/28/11 0:00,"Austin, Carrie M.",1,1,0
Committee on Housing and Real Estate,6/6/11 0:00,"Austin, Carrie M.",1,1,0
Committee on Housing and Real Estate,6/28/11 0:00,"Austin, Carrie M.",1,1,0
Committee on Housing and Real Estate,7/20/11 0:00,"Austin, Carrie M.",1,2,0
Committee on Housing and Real Estate,8/30/11 0:00,"Austin, Carrie M.",1,2,0
Committee on Housing and Real Estate,5/30/12 0:00,"Austin, Carrie M.",1,3,0
Committee on Housing and Real Estate,4/9/15 0:00,"Austin, Carrie M.",1,9,0
Committee on Housing and Real Estate,4/13/15 0:00,"Austin, Carrie M.",1,9,0
Committee on Housing and Real Estate,12/7/15 0:00,"Austin, Carrie M.",1,10,0
Committee on Housing and Real Estate,1/17/17 0:00,"Austin, Carrie M.",1,12,0
Committee on Human Relations,6/7/11 0:00,"Colon, Rey",1,1,0
Committee on Human Relations,1/18/17 0:00,"Dowell, Pat",1,12,0
Committee on License and Consumer Protection,1/27/11 0:00,"Cardenas, George A.",1,1,0
Committee on License and Consumer Protection,2/28/11 0:00,"Cardenas, George A.",1,1,0
Committee on License and Consumer Protection,3/30/11 0:00,"Cardenas, George A.",1,1,0
Committee on License and Consumer Protection,4/27/11 0:00,"Cardenas, George A.",1,1,0
Committee on License and Consumer Protection,6/6/11 0:00,"Cardenas, George A.",1,1,0
Committee on License and Consumer Protection,6/29/11 0:00,"Arena, John",1,1,0
Committee on License and Consumer Protection,7/5/11 0:00,"Arena, John",1,2,0
Committee on License and Consumer Protection,7/26/11 0:00,"Arena, John",1,2,0
Committee on License and Consumer Protection,9/7/11 0:00,"Arena, John",1,2,0
Committee on License and Consumer Protection,5/30/12 0:00,"Arena, John",1,3,0
Committee on License and Consumer Protection,3/14/16 0:00,"Arena, John",1,11,0
Committee on License and Consumer Protection,1/18/17 0:00,"Arena, John",1,12,0
Committee on Pedestrian and Traffic Safety,6/6/11 0:00,"Balcer, James",1,1,0
Committee on Pedestrian and Traffic Safety,9/7/11 0:00,"Balcer, James",1,2,0
Committee on Pedestrian and Traffic Safety,5/5/15 0:00,"Balcer, James",1,9,0
Committee on Public Safety,7/21/11 0:00,"Austin, Carrie M.",1,2,0
Committee on Public Safety,9/6/11 0:00,"Austin, Carrie M.",1,2,0
Committee on Public Safety,10/3/11 0:00,"Austin, Carrie M.",1,2,0
Committee on Public Safety,10/24/16 0:00,"Austin, Carrie M.",1,12,0
Committee on Public Safety,1/18/17 0:00,"Austin, Carrie M.",1,12,0
"Committee on Special Events, Cultural Affairs and Recreation",6/7/11 0:00,"Arena, John",1,1,0
"Committee on Special Events, Cultural Affairs and Recreation",7/5/11 0:00,"Arena, John",1,2,0
"Committee on Special Events, Cultural Affairs and Recreation",7/21/11 0:00,"Arena, John",1,2,0
"Committee on Special Events, Cultural Affairs and Recreation",8/30/11 0:00,"Arena, John",1,2,0
"Committee on Special Events, Cultural Affairs and Recreation",9/28/11 0:00,"Arena, John",1,2,0
"Committee on Special Events, Cultural Affairs and Recreation",10/25/11 0:00,"Arena, John",1,2,0
"Committee on Special Events, Cultural Affairs and Recreation",11/15/11 0:00,"Arena, John",1,2,0
"Committee on Special Events, Cultural Affairs and Recreation",12/6/11 0:00,"Arena, John",1,2,0
"Committee on Special Events, Cultural Affairs and Recreation",1/17/12 0:00,"Arena, John",1,3,0
"Committee on Special Events, Cultural Affairs and Recreation",2/7/12 0:00,"Arena, John",1,3,0
"Committee on Special Events, Cultural Affairs and Recreation",3/6/12 0:00,"Arena, John",1,3,0
"Committee on Special Events, Cultural Affairs and Recreation",4/11/12 0:00,"Arena, John",1,3,0
"Committee on Special Events, Cultural Affairs and Recreation",5/2/12 0:00,"Arena, John",1,3,0
"Committee on Special Events, Cultural Affairs and Recreation",8/27/12 0:00,"Arena, John",1,4,0
