alderman,quarters,Meetings_Attended,Total_Meetings,Attendance %
"Burke, Edward M.",20,11,17,0.6470588235294117647058823529
"Burke, Edward M.",21,11,19,0.5789473684210526315789473684
"Burke, Edward M.",22,9,17,0.5294117647058823529411764706
"Burke, Edward M.",23,8,14,0.5714285714285714285714285714
"Burke, Edward M.",24,18,24,0.75
"Burke, Edward M.",3,19,20,0.95
"Burke, Edward M.",4,15,23,0.6521739130434782608695652174
"Burke, Edward M.",5,10,17,0.5882352941176470588235294118
"Burke, Edward M.",6,15,26,0.5769230769230769230769230769
"Burke, Edward M.",7,7,18,0.3888888888888888888888888889
"Burke, Edward M.",8,13,26,0.5
"Burke, Edward M.",9,9,17,0.5294117647058823529411764706
"Burnett, Jr., Walter",1,4,4,1
"Burnett, Jr., Walter",10,14,17,0.8235294117647058823529411765
"Burnett, Jr., Walter",11,9,11,0.8181818181818181818181818182
"Burnett, Jr., Walter",12,15,23,0.6521739130434782608695652174
"Burnett, Jr., Walter",13,14,17,0.8235294117647058823529411765
"Burnett, Jr., Walter",14,14,17,0.8235294117647058823529411765
"Burnett, Jr., Walter",15,8,11,0.7272727272727272727272727273
"Burnett, Jr., Walter",16,18,20,0.9
"Burnett, Jr., Walter",17,11,15,0.7333333333333333333333333333
"Burnett, Jr., Walter",18,18,24,0.75
"Burnett, Jr., Walter",19,3,4,0.75
"Burnett, Jr., Walter",2,11,11,1
"Burnett, Jr., Walter",20,14,21,0.6666666666666666666666666667
"Burnett, Jr., Walter",21,17,21,0.8095238095238095238095238095
"Burnett, Jr., Walter",22,14,19,0.7368421052631578947368421053
"Burnett, Jr., Walter",23,15,18,0.8333333333333333333333333333
"Burnett, Jr., Walter",24,21,25,0.84
"Burnett, Jr., Walter",3,19,20,0.95
"Burnett, Jr., Walter",4,16,20,0.8
"Burnett, Jr., Walter",5,12,18,0.6666666666666666666666666667
"Burnett, Jr., Walter",6,14,21,0.6666666666666666666666666667
"Burnett, Jr., Walter",7,5,14,0.3571428571428571428571428571
"Burnett, Jr., Walter",8,13,21,0.6190476190476190476190476190
"Burnett, Jr., Walter",9,12,14,0.8571428571428571428571428571
"Burns, William D.",10,11,20,0.55
"Burns, William D.",11,4,9,0.4444444444444444444444444444
"Burns, William D.",12,16,18,0.8888888888888888888888888889
"Burns, William D.",13,14,17,0.8235294117647058823529411765
"Burns, William D.",14,8,14,0.5714285714285714285714285714
"Burns, William D.",15,7,10,0.7
"Burns, William D.",16,17,22,0.7727272727272727272727272727
"Burns, William D.",17,6,10,0.6
"Burns, William D.",18,12,20,0.6
"Burns, William D.",19,0,2,0
"Burns, William D.",2,5,5,1
"Burns, William D.",20,12,19,0.6315789473684210526315789474
"Burns, William D.",21,7,12,0.5833333333333333333333333333
"Burns, William D.",3,14,14,1
"Burns, William D.",4,15,20,0.75
