alderman,thirds,Meetings_Attended,Total_Meetings,Attendance %
"Austin, Carrie M.",12,17,25,0.68
"Austin, Carrie M.",13,15,24,0.625
"Austin, Carrie M.",14,4,10,0.4
"Austin, Carrie M.",15,10,23,0.434782609
"Austin, Carrie M.",16,13,26,0.5
"Austin, Carrie M.",17,9,24,0.375
"Austin, Carrie M.",18,14,34,0.411764706
"Balcer, James",1,11,11,1
"Balcer, James",2,24,24,1
"Balcer, James",3,21,34,0.617647059
"Balcer, James",4,21,27,0.777777778
"Balcer, James",5,19,29,0.655172414
"Balcer, James",6,20,32,0.625
"Balcer, James",7,14,21,0.666666667
"Balcer, James",8,15,24,0.625
"Balcer, James",9,19,27,0.703703704
"Balcer, James",10,16,18,0.888888889
"Balcer, James",11,9,14,0.642857143
"Balcer, James",12,17,23,0.739130435
"Balcer, James",13,13,19,0.684210526
"Balcer, James",14,3,4,0.75
"Beale, Anthony",1,9,9,1
"Beale, Anthony",2,20,20,1
"Beale, Anthony",3,23,29,0.793103448
"Beale, Anthony",4,17,24,0.708333333
"Beale, Anthony",5,17,26,0.653846154
"Beale, Anthony",6,18,34,0.529411765
"Beale, Anthony",7,11,20,0.55
"Beale, Anthony",8,15,22,0.681818182
"Beale, Anthony",9,18,25,0.72
"Beale, Anthony",10,15,22,0.681818182
"Beale, Anthony",11,10,14,0.714285714
"Beale, Anthony",12,19,22,0.863636364
"Beale, Anthony",13,12,15,0.8
"Beale, Anthony",14,6,10,0.6
"Beale, Anthony",15,14,19,0.736842105
"Beale, Anthony",16,14,20,0.7
"Beale, Anthony",17,14,19,0.736842105
"Beale, Anthony",18,23,30,0.766666667
"Brookins, Jr., Howard",1,6,6,1
"Brookins, Jr., Howard",2,25,25,1
"Brookins, Jr., Howard",3,25,38,0.657894737
"Brookins, Jr., Howard",4,16,31,0.516129032
"Brookins, Jr., Howard",5,13,27,0.481481481
"Brookins, Jr., Howard",6,13,35,0.371428571
"Brookins, Jr., Howard",7,10,22,0.454545455
"Brookins, Jr., Howard",8,10,25,0.4
"Brookins, Jr., Howard",9,8,25,0.32
"Brookins, Jr., Howard",10,8,22,0.363636364
"Brookins, Jr., Howard",11,7,15,0.466666667
"Brookins, Jr., Howard",12,10,24,0.416666667
"Brookins, Jr., Howard",13,10,20,0.5
"Brookins, Jr., Howard",14,7,14,0.5
"Brookins, Jr., Howard",15,12,24,0.5
"Brookins, Jr., Howard",16,13,24,0.541666667
"Brookins, Jr., Howard",17,11,20,0.55
"Brookins, Jr., Howard",18,12,30,0.4
"Burke, Edward M.",1,7,7,1
"Burke, Edward M.",2,21,22,0.954545455
"Burke, Edward M.",3,24,32,0.75
"Burke, Edward M.",4,15,26,0.576923077
"Burke, Edward M.",5,13,25,0.52
"Burke, Edward M.",6,17,36,0.472222222
"Burke, Edward M.",7,12,23,0.52173913
"Burke, Edward M.",8,14,26,0.538461538
"Burke, Edward M.",9,16,27,0.592592593
"Burke, Edward M.",10,15,23,0.652173913
"Burke, Edward M.",11,9,15,0.6
"Burke, Edward M.",12,18,22,0.818181818
"Burke, Edward M.",13,13,19,0.684210526
"Burke, Edward M.",14,6,10,0.6
"Burke, Edward M.",15,12,21,0.571428571
"Burke, Edward M.",16,15,24,0.625
"Burke, Edward M.",17,9,20,0.45
"Burke, Edward M.",18,22,30,0.733333333
"Burnett, Jr., Walter",1,6,6,1
"Burnett, Jr., Walter",2,20,20,1
"Burnett, Jr., Walter",3,24,29,0.827586207
"Burnett, Jr., Walter",4,16,24,0.666666667
"Burnett, Jr., Walter",5,14,23,0.608695652
"Burnett, Jr., Walter",6,14,27,0.518518519
"Burnett, Jr., Walter",7,15,18,0.833333333
"Burnett, Jr., Walter",8,15,19,0.789473684
"Burnett, Jr., Walter",9,20,28,0.714285714
"Burnett, Jr., Walter",10,18,24,0.75
"Burnett, Jr., Walter",11,16,18,0.888888889
"Burnett, Jr., Walter",12,20,23,0.869565217
"Burnett, Jr., Walter",13,17,24,0.708333333
"Burnett, Jr., Walter",14,12,15,0.8
"Burnett, Jr., Walter",15,17,25,0.68
"Burnett, Jr., Walter",16,21,26,0.807692308
"Burnett, Jr., Walter",17,16,23,0.695652174
"Burnett, Jr., Walter",18,30,34,0.882352941
"Burns, William D.",2,12,12,1
"Burns, William D.",3,22,27,0.814814815
"Burns, William D.",4,16,23,0.695652174
"Burns, William D.",5,18,24,0.75
"Burns, William D.",6,15,29,0.517241379
"Burns, William D.",7,9,16,0.5625
"Burns, William D.",8,10,21,0.476190476
"Burns, William D.",9,19,22,0.863636364
"Burns, William D.",10,18,22,0.818181818
"Burns, William D.",11,8,15,0.533333333
"Burns, William D.",12,20,26,0.769230769
"Burns, William D.",13,13,19,0.684210526
"Burns, William D.",14,5,11,0.454545455
"Burns, William D.",15,12,21,0.571428571
"Burns, William D.",16,7,12,0.583333333
"Cappleman, James",2,15,15,1
"Cappleman, James",3,30,36,0.833333333
"Cappleman, James",4,23,30,0.766666667
"Cappleman, James",5,14,28,0.5
"Cappleman, James",6,13,30,0.433333333
"Cappleman, James",7,17,22,0.772727273
"Cappleman, James",8,21,27,0.777777778
"Cappleman, James",9,16,25,0.64
"Cappleman, James",10,19,24,0.791666667
"Cappleman, James",11,13,16,0.8125
"Cappleman, James",12,16,23,0.695652174
"Cappleman, James",13,17,21,0.80952381
"Cappleman, James",14,10,10,1
"Cappleman, James",15,15,18,0.833333333
"Cappleman, James",16,19,24,0.791666667
"Cappleman, James",17,14,19,0.736842105
"Cappleman, James",18,25,28,0.892857143
"Cardenas, George A.",1,15,15,1
"Cardenas, George A.",2,24,24,1
"Cardenas, George A.",3,17,32,0.53125
"Cardenas, George A.",4,9,25,0.36
"Cardenas, George A.",5,6,29,0.206896552
"Cardenas, George A.",6,11,29,0.379310345
"Cardenas, George A.",7,11,20,0.55
"Cardenas, George A.",8,12,26,0.461538462
"Cardenas, George A.",9,10,27,0.37037037
"Cardenas, George A.",10,11,22,0.5
"Cardenas, George A.",11,4,15,0.266666667
"Cardenas, George A.",12,10,24,0.416666667
"Cardenas, George A.",13,9,18,0.5
"Cardenas, George A.",14,5,13,0.384615385
"Cardenas, George A.",15,13,23,0.565217391
"Cardenas, George A.",16,11,25,0.44
"Cardenas, George A.",17,12,20,0.6
"Cardenas, George A.",18,24,31,0.774193548
"Chandler, Michael D.",2,13,13,1
"Chandler, Michael D.",3,9,26,0.346153846
"Chandler, Michael D.",4,6,25,0.24
"Chandler, Michael D.",5,6,22,0.272727273
"Chandler, Michael D.",6,14,27,0.518518519
"Chandler, Michael D.",7,15,19,0.789473684
"Chandler, Michael D.",8,13,23,0.565217391
"Chandler, Michael D.",9,10,25,0.4
"Chandler, Michael D.",10,11,23,0.47826087
"Chandler, Michael D.",11,4,15,0.266666667
"Chandler, Michael D.",12,9,21,0.428571429
"Chandler, Michael D.",13,6,16,0.375
"Chandler, Michael D.",14,0,3,0
"Cochran, Willie",1,9,9,1
"Cochran, Willie",2,22,22,1
"Cochran, Willie",3,24,34,0.705882353
"Cochran, Willie",4,20,26,0.769230769
"Cochran, Willie",5,19,27,0.703703704
"Cochran, Willie",6,15,33,0.454545455
"Cochran, Willie",7,13,23,0.565217391
"Cochran, Willie",8,19,28,0.678571429
"Cochran, Willie",9,20,32,0.625
"Cochran, Willie",10,16,22,0.727272727
"Cochran, Willie",11,9,16,0.5625
"Cochran, Willie",12,15,23,0.652173913
"Cochran, Willie",13,11,18,0.611111111
"Cochran, Willie",14,11,12,0.916666667
"Cochran, Willie",15,17,21,0.80952381
"Cochran, Willie",16,20,24,0.833333333
"Cochran, Willie",17,16,20,0.8
"Cochran, Willie",18,23,32,0.71875
"Colon, Rey",1,5,5,1
"Colon, Rey",2,19,19,1
"Colon, Rey",3,21,35,0.6
"Colon, Rey",4,15,32,0.46875
"Colon, Rey",5,13,26,0.5
"Colon, Rey",6,17,32,0.53125
"Colon, Rey",7,6,16,0.375
"Colon, Rey",8,18,25,0.72
"Colon, Rey",9,15,29,0.517241379
"Colon, Rey",10,18,26,0.692307692
"Colon, Rey",11,16,22,0.727272727
"Colon, Rey",12,15,27,0.555555556
"Colon, Rey",13,9,21,0.428571429
"Colon, Rey",14,3,7,0.428571429
"Cullerton, Timothy M.",1,6,6,1
"Cullerton, Timothy M.",2,22,22,1
"Cullerton, Timothy M.",3,30,33,0.909090909
"Cullerton, Timothy M.",4,26,29,0.896551724
"Cullerton, Timothy M.",5,24,28,0.857142857
"Cullerton, Timothy M.",6,31,32,0.96875
"Cullerton, Timothy M.",7,23,25,0.92
"Cullerton, Timothy M.",8,28,29,0.965517241
"Cullerton, Timothy M.",9,28,30,0.933333333
"Cullerton, Timothy M.",10,21,24,0.875
"Cullerton, Timothy M.",11,15,17,0.882352941
"Cullerton, Timothy M.",12,17,26,0.653846154
"Cullerton, Timothy M.",13,18,22,0.818181818
"Cullerton, Timothy M.",14,3,4,0.75
"Curtis, Derrick G.",14,4,4,1
"Curtis, Derrick G.",15,7,13,0.538461538
"Curtis, Derrick G.",16,14,15,0.933333333
"Curtis, Derrick G.",17,9,15,0.6
"Curtis, Derrick G.",18,24,25,0.96
"Daley, Vi",1,8,8,1
"Daley, Vi",2,2,2,1
"Dixon, Sharon",1,5,5,1
"Doherty, Brian",1,14,14,1
"Doherty, Brian",2,3,3,1
"Dowell, Pat",1,8,8,1
"Dowell, Pat",2,21,21,1
"Dowell, Pat",3,28,31,0.903225806
"Dowell, Pat",4,23,26,0.884615385
"Dowell, Pat",5,25,30,0.833333333
"Dowell, Pat",6,20,31,0.64516129
"Dowell, Pat",7,18,22,0.818181818
"Dowell, Pat",8,23,27,0.851851852
"Dowell, Pat",9,21,29,0.724137931
"Dowell, Pat",10,19,20,0.95
"Dowell, Pat",11,13,15,0.866666667
"Dowell, Pat",12,23,26,0.884615385
"Dowell, Pat",13,16,19,0.842105263
"Dowell, Pat",14,10,12,0.833333333
"Dowell, Pat",15,17,20,0.85
"Dowell, Pat",16,21,23,0.913043478
"Dowell, Pat",17,17,20,0.85
"Dowell, Pat",18,29,31,0.935483871
"Ervin, Jason C.",1,3,3,1
"Ervin, Jason C.",2,15,15,1
"Ervin, Jason C.",3,25,27,0.925925926
"Ervin, Jason C.",4,19,23,0.826086957
"Ervin, Jason C.",5,14,24,0.583333333
"Ervin, Jason C.",6,20,25,0.8
