alderman,thirds,Meetings_Attended,Total_Meetings,Attendance %
"Olivo, Frank",1,11,11,1
"Olivo, Frank",2,2,2,1
"Osterman, Harry",2,8,8,1
"Osterman, Harry",3,13,16,0.8125
"Osterman, Harry",4,12,15,0.8
"Osterman, Harry",5,10,18,0.555555556
"Osterman, Harry",6,10,21,0.476190476
"Osterman, Harry",7,8,12,0.666666667
"Osterman, Harry",8,9,12,0.75
"Osterman, Harry",9,13,17,0.764705882
"Osterman, Harry",10,9,14,0.642857143
"Osterman, Harry",11,5,10,0.5
"Osterman, Harry",12,12,16,0.75
"Osterman, Harry",13,5,11,0.454545455
"Osterman, Harry",14,6,8,0.75
"Osterman, Harry",15,13,14,0.928571429
"Osterman, Harry",16,12,15,0.8
"Osterman, Harry",17,8,12,0.666666667
"Osterman, Harry",18,17,20,0.85
"Pawar, Ameya",2,12,12,1
"Pawar, Ameya",3,15,24,0.625
"Pawar, Ameya",4,10,23,0.434782609
"Pawar, Ameya",5,8,16,0.5
"Pawar, Ameya",6,17,23,0.739130435
"Pawar, Ameya",7,16,17,0.941176471
"Pawar, Ameya",8,14,16,0.875
"Pawar, Ameya",9,18,21,0.857142857
"Pawar, Ameya",10,18,21,0.857142857
"Pawar, Ameya",11,10,14,0.714285714
"Pawar, Ameya",12,10,17,0.588235294
"Pawar, Ameya",13,13,19,0.684210526
"Pawar, Ameya",14,7,13,0.538461538
"Pawar, Ameya",15,13,24,0.541666667
"Pawar, Ameya",16,15,26,0.576923077
"Pawar, Ameya",17,10,21,0.476190476
"Pawar, Ameya",18,20,30,0.666666667
"Pope, John",1,10,10,1
"Pope, John",2,23,23,1
"Pope, John",3,26,33,0.787878788
"Pope, John",4,19,30,0.633333333
"Pope, John",5,20,29,0.689655172
"Pope, John",6,14,34,0.411764706
"Pope, John",7,14,24,0.583333333
"Pope, John",8,14,27,0.518518519
"Pope, John",9,10,31,0.322580645
"Pope, John",10,21,27,0.777777778
"Pope, John",11,11,19,0.578947368
"Pope, John",12,15,24,0.625
"Pope, John",13,10,21,0.476190476
"Pope, John",14,2,4,0.5
"Quinn, Marty",2,16,17,0.941176471
"Quinn, Marty",3,25,27,0.925925926
"Quinn, Marty",4,21,23,0.913043478
"Quinn, Marty",5,19,21,0.904761905
"Quinn, Marty",6,17,24,0.708333333
"Quinn, Marty",7,15,18,0.833333333
"Quinn, Marty",8,14,17,0.823529412
"Quinn, Marty",9,20,24,0.833333333
"Quinn, Marty",10,18,24,0.75
"Quinn, Marty",11,14,15,0.933333333
"Quinn, Marty",12,23,26,0.884615385
"Quinn, Marty",13,15,19,0.789473684
"Quinn, Marty",14,12,14,0.857142857
"Quinn, Marty",15,19,22,0.863636364
"Quinn, Marty",16,21,25,0.84
"Quinn, Marty",17,16,18,0.888888889
"Quinn, Marty",18,28,32,0.875
"Ramirez-Rosa, Carlos",14,4,5,0.8
"Ramirez-Rosa, Carlos",15,9,14,0.642857143
"Ramirez-Rosa, Carlos",16,6,9,0.666666667
"Ramirez-Rosa, Carlos",17,9,11,0.818181818
"Ramirez-Rosa, Carlos",18,17,18,0.944444444
"Reboyras, Ariel",1,17,17,1
"Reboyras, Ariel",2,30,30,1
"Reboyras, Ariel",3,34,36,0.944444444
"Reboyras, Ariel",4,24,30,0.8
"Reboyras, Ariel",5,28,35,0.8
"Reboyras, Ariel",6,34,38,0.894736842
"Reboyras, Ariel",7,28,29,0.965517241
"Reboyras, Ariel",8,31,31,1
"Reboyras, Ariel",9,29,31,0.935483871
"Reboyras, Ariel",10,24,26,0.923076923
"Reboyras, Ariel",11,14,15,0.933333333
"Reboyras, Ariel",12,25,26,0.961538462
"Reboyras, Ariel",13,19,21,0.904761905
"Reboyras, Ariel",14,10,10,1
"Reboyras, Ariel",15,20,21,0.952380952
"Reboyras, Ariel",16,25,27,0.925925926
"Reboyras, Ariel",17,22,23,0.956521739
