"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Chandler, Michael D.",0,2
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"O'Connor, Mary",0,2
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"O'Connor, Patrick",0,2
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"O'Shea, Matthew J.",0,2
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Osterman, Harry",0,2
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Pawar, Ameya",0,2
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Quinn, Marty",0,2
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Sawyer, Roderick T.",0,2
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Silverstein, Debra L.",0,2
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Smith, Michele",0,2
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Sposato, Nicholas",0,2
"Committee on Committees, Rules and Ethics",7/27/11 0:00,"Arena, John",0,2
"Committee on Committees, Rules and Ethics",7/27/11 0:00,"Burns, William D.",0,2
"Committee on Committees, Rules and Ethics",7/27/11 0:00,"Cappleman, James",0,2
"Committee on Committees, Rules and Ethics",7/27/11 0:00,"Chandler, Michael D.",0,2
"Committee on Committees, Rules and Ethics",7/27/11 0:00,"O'Connor, Mary",0,2
"Committee on Committees, Rules and Ethics",7/27/11 0:00,"O'Connor, Patrick",0,2
"Committee on Committees, Rules and Ethics",7/27/11 0:00,"O'Shea, Matthew J.",0,2
"Committee on Committees, Rules and Ethics",7/27/11 0:00,"Osterman, Harry",0,2
"Committee on Committees, Rules and Ethics",7/27/11 0:00,"Pawar, Ameya",0,2
"Committee on Committees, Rules and Ethics",7/27/11 0:00,"Quinn, Marty",0,2
"Committee on Committees, Rules and Ethics",7/27/11 0:00,"Sawyer, Roderick T.",0,2
"Committee on Committees, Rules and Ethics",7/27/11 0:00,"Silverstein, Debra L.",0,2
"Committee on Committees, Rules and Ethics",7/27/11 0:00,"Smith, Michele",0,2
"Committee on Committees, Rules and Ethics",7/27/11 0:00,"Sposato, Nicholas",0,2
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Arena, John",0,2
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Burns, William D.",0,2
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Cappleman, James",0,2
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Chandler, Michael D.",0,2
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"O'Connor, Mary",0,2
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"O'Connor, Patrick",0,2
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"O'Shea, Matthew J.",0,2
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Osterman, Harry",0,2
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Pawar, Ameya",0,2
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Quinn, Marty",0,2
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Sawyer, Roderick T.",0,2
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Silverstein, Debra L.",0,2
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Smith, Michele",0,2
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Sposato, Nicholas",0,2
"Committee on Committees, Rules and Ethics",11/14/11 0:00,"Arena, John",0,2
"Committee on Committees, Rules and Ethics",11/14/11 0:00,"Burns, William D.",0,2
"Committee on Committees, Rules and Ethics",11/14/11 0:00,"Cappleman, James",0,2
"Committee on Committees, Rules and Ethics",11/14/11 0:00,"Chandler, Michael D.",0,2
"Committee on Committees, Rules and Ethics",11/14/11 0:00,"O'Connor, Mary",0,2
"Committee on Committees, Rules and Ethics",11/14/11 0:00,"O'Connor, Patrick",0,2
"Committee on Committees, Rules and Ethics",11/14/11 0:00,"O'Shea, Matthew J.",0,2
"Committee on Committees, Rules and Ethics",11/14/11 0:00,"Osterman, Harry",0,2
"Committee on Committees, Rules and Ethics",11/14/11 0:00,"Pawar, Ameya",0,2
"Committee on Committees, Rules and Ethics",11/14/11 0:00,"Quinn, Marty",0,2
"Committee on Committees, Rules and Ethics",11/14/11 0:00,"Sawyer, Roderick T.",0,2
"Committee on Committees, Rules and Ethics",11/14/11 0:00,"Silverstein, Debra L.",0,2
"Committee on Committees, Rules and Ethics",11/14/11 0:00,"Smith, Michele",0,2
"Committee on Committees, Rules and Ethics",11/14/11 0:00,"Sposato, Nicholas",0,2
"Committee on Committees, Rules and Ethics",5/7/12 0:00,"Arena, John",0,3
"Committee on Committees, Rules and Ethics",5/7/12 0:00,"Burns, William D.",0,3
"Committee on Committees, Rules and Ethics",5/7/12 0:00,"Chandler, Michael D.",0,3
"Committee on Committees, Rules and Ethics",5/7/12 0:00,"O'Connor, Mary",0,3
"Committee on Committees, Rules and Ethics",5/7/12 0:00,"O'Connor, Patrick",0,3
"Committee on Committees, Rules and Ethics",5/7/12 0:00,"O'Shea, Matthew J.",0,3
"Committee on Committees, Rules and Ethics",5/7/12 0:00,"Osterman, Harry",0,3
"Committee on Committees, Rules and Ethics",5/7/12 0:00,"Pawar, Ameya",0,3
"Committee on Committees, Rules and Ethics",5/7/12 0:00,"Quinn, Marty",0,3
"Committee on Committees, Rules and Ethics",5/7/12 0:00,"Sawyer, Roderick T.",0,3
"Committee on Committees, Rules and Ethics",5/7/12 0:00,"Silverstein, Debra L.",0,3
"Committee on Committees, Rules and Ethics",5/7/12 0:00,"Smith, Michele",0,3
"Committee on Committees, Rules and Ethics",5/7/12 0:00,"Sposato, Nicholas",0,3
"Committee on Committees, Rules and Ethics",6/27/12 0:00,"Arena, John",0,3
"Committee on Committees, Rules and Ethics",6/27/12 0:00,"Burns, William D.",0,3
"Committee on Committees, Rules and Ethics",6/27/12 0:00,"Chandler, Michael D.",0,3
"Committee on Committees, Rules and Ethics",6/27/12 0:00,"O'Connor, Mary",0,3
"Committee on Committees, Rules and Ethics",6/27/12 0:00,"O'Connor, Patrick",0,3
"Committee on Committees, Rules and Ethics",6/27/12 0:00,"O'Shea, Matthew J.",0,3
"Committee on Committees, Rules and Ethics",6/27/12 0:00,"Osterman, Harry",0,3
"Committee on Committees, Rules and Ethics",6/27/12 0:00,"Pawar, Ameya",0,3
"Committee on Committees, Rules and Ethics",6/27/12 0:00,"Sawyer, Roderick T.",0,3
"Committee on Committees, Rules and Ethics",6/27/12 0:00,"Silverstein, Debra L.",0,3
"Committee on Committees, Rules and Ethics",6/27/12 0:00,"Smith, Michele",0,3
"Committee on Committees, Rules and Ethics",6/27/12 0:00,"Sposato, Nicholas",0,3
"Committee on Committees, Rules and Ethics",6/27/12 0:00,"Quinn, Marty",0,3
"Committee on Economic, Capital and Technology Development",2/7/11 0:00,"Hairston, Leslie A.",0,1
"Committee on Economic, Capital and Technology Development",2/7/11 0:00,"Lane, Lona",0,1
"Committee on Economic, Capital and Technology Development",2/7/11 0:00,"Mitts, Emma",0,1
"Committee on Economic, Capital and Technology Development",3/8/11 0:00,"Hairston, Leslie A.",0,1
"Committee on Economic, Capital and Technology Development",3/8/11 0:00,"Lane, Lona",0,1
"Committee on Economic, Capital and Technology Development",3/8/11 0:00,"Mitts, Emma",0,1
"Committee on Economic, Capital and Technology Development",5/3/11 0:00,"Hairston, Leslie A.",0,1
"Committee on Economic, Capital and Technology Development",5/3/11 0:00,"Lane, Lona",0,1
"Committee on Economic, Capital and Technology Development",5/3/11 0:00,"Mitts, Emma",0,1
"Committee on Economic, Capital and Technology Development",6/14/16 0:00,"Dowell, Pat",1,11
"Committee on Economic, Capital and Technology Development",6/14/16 0:00,"Sposato, Nicholas",1,11
"Committee on Economic, Capital and Technology Development",6/14/16 0:00,"Taliaferro, Chris",1,11
"Committee on Economic, Capital and Technology Development",9/7/16 0:00,"Solis, Daniel",1,12
"Committee on Economic, Capital and Technology Development",9/28/16 0:00,"Cardenas, George A.",1,12
"Committee on Economic, Capital and Technology Development",12/7/16 0:00,"Burnett, Jr., Walter",1,12
Committee on Education and Child Development,10/5/15 0:00,"Mitts, Emma",1,10
Committee on Education and Child Development,10/5/15 0:00,"Ramirez-Rosa, Carlos",1,10
Committee on Education and Child Development,8/31/16 0:00,"Hairston, Leslie A.",1,12
Committee on Education and Child Development,8/31/16 0:00,"Moore, David H.",1,12
Committee on Education and Child Development,8/31/16 0:00,"Taliaferro, Chris",1,12
Committee on Education and Child Development,8/31/16 0:00,"Thompson, Patrick D.",1,12
Committee on Finance,2/7/11 0:00,"Dowell, Pat",0,1
Committee on Finance,2/7/11 0:00,"Ervin, Jason C.",0,1
Committee on Finance,2/7/11 0:00,"Graham, Deborah L.",0,1
Committee on Finance,2/7/11 0:00,"Moreno, Proco Joe",0,1
Committee on Finance,2/7/11 0:00,"Reilly, Brendan",0,1
Committee on Finance,2/7/11 0:00,"Thompson, JoAnn",0,1
Committee on Finance,2/7/11 0:00,"Waguespack, Scott",0,1
Committee on Finance,4/11/11 0:00,"Dowell, Pat",0,1
Committee on Finance,4/11/11 0:00,"Ervin, Jason C.",0,1
Committee on Finance,4/11/11 0:00,"Graham, Deborah L.",0,1
Committee on Finance,4/11/11 0:00,"Moreno, Proco Joe",0,1
Committee on Finance,4/11/11 0:00,"Reilly, Brendan",0,1
Committee on Finance,4/11/11 0:00,"Thompson, JoAnn",0,1
Committee on Finance,4/11/11 0:00,"Waguespack, Scott",0,1
Committee on Finance,5/2/11 0:00,"Dowell, Pat",0,1
Committee on Finance,5/2/11 0:00,"Ervin, Jason C.",0,1
Committee on Finance,5/2/11 0:00,"Graham, Deborah L.",0,1
Committee on Finance,5/2/11 0:00,"Moreno, Proco Joe",0,1
Committee on Finance,5/2/11 0:00,"Reilly, Brendan",0,1
Committee on Finance,5/2/11 0:00,"Thompson, JoAnn",0,1
Committee on Finance,5/2/11 0:00,"Waguespack, Scott",0,1
Committee on Finance,6/6/11 0:00,"Burns, William D.",0,1
Committee on Finance,6/6/11 0:00,"Cochran, Willie",0,1
Committee on Finance,6/6/11 0:00,"Dowell, Pat",0,1
Committee on Finance,6/6/11 0:00,"Ervin, Jason C.",0,1
Committee on Finance,6/6/11 0:00,"Graham, Deborah L.",0,1
Committee on Finance,6/6/11 0:00,"Moreno, Proco Joe",0,1
Committee on Finance,6/6/11 0:00,"Osterman, Harry",0,1
Committee on Finance,6/6/11 0:00,"Reilly, Brendan",0,1
Committee on Finance,6/6/11 0:00,"Thompson, JoAnn",0,1
Committee on Finance,6/6/11 0:00,"Waguespack, Scott",0,1
Committee on Finance,6/22/11 0:00,"Burns, William D.",0,1
Committee on Finance,6/22/11 0:00,"Dowell, Pat",0,1
Committee on Finance,1/15/15 0:00,"Holmes, Natashia",1,9
Committee on Finance,4/14/15 0:00,"Mell, Deborah",1,9
Committee on Finance,4/14/15 0:00,"Smith, Michele",1,9
Committee on Finance,6/15/15 0:00,"Moore, David H.",1,9
Committee on Finance,6/15/15 0:00,"Ramirez-Rosa, Carlos",1,9
Committee on Finance,6/15/15 0:00,"Santiago, Milagros S.",1,9
Committee on Finance,6/15/15 0:00,"Scott, Jr. Michael",1,9
Committee on Finance,9/21/15 0:00,"Mell, Deborah",1,10
Committee on Finance,9/21/15 0:00,"Moore, David H.",1,10
Committee on Finance,9/21/15 0:00,"Villegas, Gilbert",1,10
Committee on Finance,12/7/15 0:00,"Pawar, Ameya",1,10
Committee on Finance,12/7/15 0:00,"Scott, Jr. Michael",1,10
Committee on Finance,12/7/15 0:00,"Villegas, Gilbert",1,10
Committee on Finance,1/11/16 0:00,"Moore, David H.",1,11
Committee on Finance,1/11/16 0:00,"Sadlowski Garza, Susan",1,11
Committee on Finance,1/11/16 0:00,"Santiago, Milagros S.",1,11
Committee on Finance,1/11/16 0:00,"Scott, Jr. Michael",1,11
Committee on Finance,1/11/16 0:00,"Smith, Michele",1,11
Committee on Finance,1/11/16 0:00,"Villegas, Gilbert",1,11
Committee on Finance,2/8/16 0:00,"Cappleman, James",1,11
Committee on Finance,2/8/16 0:00,"Moore, David H.",1,11
Committee on Finance,2/8/16 0:00,"Pawar, Ameya",1,11
Committee on Finance,2/8/16 0:00,"Sadlowski Garza, Susan",1,11
Committee on Finance,2/8/16 0:00,"Scott, Jr. Michael",1,11
