Committee on Transportation and Public Way,2011-02-07T18:00:00+00:00,"Doherty, Brian",confirmed
Committee on Transportation and Public Way,2011-02-07T18:00:00+00:00,"Cullerton, Timothy M.",confirmed
Committee on Transportation and Public Way,2011-02-07T18:00:00+00:00,"Suarez, Regner Ray",confirmed
Committee on Transportation and Public Way,2011-02-07T18:00:00+00:00,"Maldonado, Roberto",confirmed
Committee on Transportation and Public Way,2011-02-07T18:00:00+00:00,"Schulter, Eugene",confirmed
Committee on Transportation and Public Way,2011-02-07T18:00:00+00:00,"Rugai, Virginia",confirmed
Committee on Transportation and Public Way,2011-02-07T18:00:00+00:00,"Levar, Patrick",confirmed
Committee on Transportation and Public Way,2011-02-07T18:00:00+00:00,"Moreno, Proco Joe",confirmed
Committee on Transportation and Public Way,2011-02-07T18:00:00+00:00,"Dowell, Pat",confirmed
Committee on Transportation and Public Way,2011-02-07T18:00:00+00:00,"Reboyras, Ariel",confirmed
Committee on Transportation and Public Way,2011-02-07T18:00:00+00:00,"Beale, Anthony",confirmed
Committee on Transportation and Public Way,2011-02-07T18:00:00+00:00,"Reilly, Brendan",confirmed
Committee on Transportation and Public Way,2011-02-07T18:00:00+00:00,"Graham, Deborah L.",confirmed
"Committee on Economic, Capital and Technology Development",2011-02-07T19:00:00+00:00,"Jackson, Sandi",confirmed
"Committee on Economic, Capital and Technology Development",2011-02-07T19:00:00+00:00,"Zalewski, Michael R.",confirmed
"Committee on Economic, Capital and Technology Development",2011-02-07T19:00:00+00:00,"Newsome, Shirley",confirmed
"Committee on Economic, Capital and Technology Development",2011-02-07T19:00:00+00:00,"ColÌ_n, Rey",confirmed
"Committee on Economic, Capital and Technology Development",2011-02-07T19:00:00+00:00,"Cullerton, Timothy M.",confirmed
"Committee on Economic, Capital and Technology Development",2011-02-07T19:00:00+00:00,"Daley, Vi",confirmed
"Committee on Economic, Capital and Technology Development",2011-02-07T19:00:00+00:00,"Tunney, Thomas",confirmed
"Committee on Economic, Capital and Technology Development",2011-02-07T19:00:00+00:00,"Maldonado, Roberto",confirmed
"Committee on Economic, Capital and Technology Development",2011-02-07T19:00:00+00:00,"Rugai, Virginia",confirmed
"Committee on Economic, Capital and Technology Development",2011-02-07T19:00:00+00:00,"Moreno, Proco Joe",confirmed
"Committee on Economic, Capital and Technology Development",2011-02-07T19:00:00+00:00,"Laurino, Margaret",confirmed
"Committee on Economic, Capital and Technology Development",2011-02-07T19:00:00+00:00,"Rice, John",confirmed
"Committee on Economic, Capital and Technology Development",2011-02-07T19:00:00+00:00,"Foulkes, Toni",confirmed
"Committee on Economic, Capital and Technology Development",2011-02-07T19:00:00+00:00,"Ervin, Jason C.",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Cochran, Willie",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Thompson, JoAnn",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Munoz, Ricardo",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Tunney, Thomas",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Burnett, Jr., Walter",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Schulter, Eugene",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Levar, Patrick",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Smith, Mary Ann",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Beale, Anthony",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Austin, Carrie M.",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Doherty, Brian",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Burke, Edward M.",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Cardenas, George A.",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Suarez, Regner Ray",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Reboyras, Ariel",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Lane, Lona",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Daley, Vi",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Brookins, Jr., Howard",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Mell, Richard F.",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Hairston, Leslie A.",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Shiller, Helen",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Lyle, Freddrenna",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Rugai, Virginia",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Moore, Joseph",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Stone, Bernard",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Laurino, Margaret",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Harris, Michelle A.",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Zalewski, Michael R.",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"O'Connor, Patrick",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Balcer, James",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Pope, John",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Mitts, Emma",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Olivo, Frank",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Thomas, Latasha R.",confirmed
Committee on Budget and Government Operations,2011-02-08T16:00:00+00:00,"Solis, Daniel",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-08T19:00:00+00:00,"Zalewski, Michael R.",confirmed
